pair,r,p,ci_lo,ci_hi
mert_vs_muq,0.27891017677647384,0.0001,0.24544593569866147,0.31936767092758467
mert_vs_encodec,0.005308475254993134,0.7553,-0.022988690806013228,0.0455733099986176
muq_vs_encodec,0.0640190115684489,0.0001,0.03694737108653938,0.10477768849695555
