space,real_max_mean,shuf_max_mean,effect_max,real_top3_mean_mean,shuf_top3_mean_mean,effect_top3_mean,real_entropy_mean,shuf_entropy_mean,effect_entropy,real_total_mean,shuf_total_mean,effect_total,real_count_05_mean,shuf_count_05_mean,effect_count_05,real_betti_area_mean,shuf_betti_area_mean,effect_betti_area
muq,0.3340792727470398,0.11251919347047808,1.0,0.3019319419066111,0.10586208019653955,1.0,5.163141009972148,5.9000212072892415,-1.0,20.777150380015375,15.189745017886162,0.883960396039604,147.1,102.7675,0.8942574257425743,154.01,113.91500000000002,0.5055445544554455
mert,0.461135106086731,0.15634663319587708,1.0,0.41434682965278635,0.1482801027695338,1.0,4.938947101137162,6.026517255481136,-1.0,21.98684883415699,24.777215424299243,-0.42257425742574256,135.09,211.6375,-0.9881188118811881,126.63,144.46050000000002,-0.19881188118811882
