space,variant,gap,within,between,max_persistence_real,real_vs_shuffle_effect,real_vs_random_effect,bootstrap_gap_obs,bootstrap_gap_ci,takens_dim,n_points_before_mean,n_points_before_std,n_points_before_min,n_points_before_max,n_points_after_mean,subsample_method
mert,A_baseline,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,B_no_resample,0.6028447503435572,21.645287561106784,22.24813231145034,0.6379184985160827,1.0,,0.6028447503435572,"[1.3872, 4.3847]",1536,184.01,0.09949874371066197,184,185,184.01,none
mert,C_linear_resample,0.6363373641313324,12.998059673414895,13.634397037546227,0.39582063794136046,1.0,,0.6363373641313324,"[1.0082, 2.9679]",512,184.02,0.13999999999999999,184,185,184.02,none
encodec,A_baseline,1.4854597104302965,13.900458900755245,15.385918611185541,0.3748627686500549,1.0,,1.4854597104302965,"[1.7044, 4.3762]",512,184.02,0.13999999999999999,184,185,184.02,none
encodec,B_no_resample,1.471895450169459,18.840985784114423,20.312881234283882,0.44816978931427004,0.9968316831683168,,1.471895450169459,"[1.6230, 5.4046]",1536,184.02,0.13999999999999999,184,185,184.02,none
encodec,C_linear_resample,1.0596400043770036,13.609115794872963,14.668755799249967,0.3074927854537964,0.9885148514851485,,1.0596400043770036,"[1.2727, 3.8665]",512,184.02,0.13999999999999999,184,185,184.02,none
