space,pca_dim,explained_variance,gap,within,between,max_persistence_real,real_vs_shuffle_effect,real_vs_random_effect,bootstrap_gap_obs,bootstrap_gap_ci,takens_dim,n_points_before_mean,n_points_before_std,n_points_before_min,n_points_before_max,n_points_after_mean,subsample_method
muq,16,0.1473941206932068,2.013787635136671,8.93972517081982,10.95351280595649,0.2945602685213089,1.0,,2.013787635136671,"[1.8420, 4.0635]",256,184.02,0.13999999999999999,184,185,184.02,none
mert,16,0.25068169832229614,0.48524023075001566,11.564384195521201,12.049624426271217,0.45479482769966123,1.0,,0.48524023075001566,"[0.9795, 2.3774]",256,184.02,0.13999999999999999,184,185,184.02,none
muq,32,0.23460493981838226,3.4339266131850987,14.222782078971504,17.656708692156602,0.3340792155265808,1.0,,3.4339266131850987,"[2.9796, 7.1186]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,32,0.37104707956314087,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
muq,64,0.3600535988807678,4.043758702364887,18.796171428577928,22.839930130942815,0.3803513610363007,1.0,,4.043758702364887,"[3.5421, 8.5124]",1024,184.02,0.13999999999999999,184,185,184.02,none
mert,64,0.518837034702301,1.0038743704222028,16.982319550587533,17.986193921009736,0.49506508350372314,1.0,,1.0038743704222028,"[1.6440, 4.0216]",1024,184.02,0.13999999999999999,184,185,184.02,none
muq,128,0.5270538330078125,4.515481674578968,23.89229366611958,28.40777534069855,0.4427997136116028,1.0,,4.515481674578968,"[4.1030, 9.8023]",2048,184.02,0.13999999999999999,184,185,184.02,none
mert,128,0.6882134079933167,1.637000986171504,18.268796446735582,19.905797432907086,0.5191229414939881,1.0,,1.637000986171504,"[2.2436, 4.9410]",2048,184.02,0.13999999999999999,184,185,184.02,none
