space,stride,runtime_sec,gap,within,between,max_persistence_real,real_vs_shuffle_effect,real_vs_random_effect,bootstrap_gap_obs,bootstrap_gap_ci,takens_dim,n_points_before_mean,n_points_before_std,n_points_before_min,n_points_before_max,n_points_after_mean,subsample_method
muq,8,26.699159860610962,1.2923798845524006,6.304253994417607,7.596633878970008,0.28651036739349367,1.0,,1.2923798845524006,"[1.1844, 2.7570]",512,92.02,0.13999999999999999,92,93,92.02,none
mert,8,26.07352876663208,0.38391418310061987,6.926021996502199,7.309936179602819,0.4048380947113037,1.0,,0.38391418310061987,"[0.6394, 1.5865]",512,92.02,0.13999999999999999,92,93,92.02,none
muq,4,169.21789121627808,3.4339266131850987,14.222782078971504,17.656708692156602,0.3340792155265808,1.0,,3.4339266131850987,"[2.9796, 7.1186]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,4,158.6586422920227,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
muq,2,1406.7378089427948,7.684395746540652,30.438522337342718,38.12291808388337,0.3721576523780823,1.0,,7.684395746540652,"[6.8802, 15.2923]",512,368.03,0.2215851980616034,368,370,368.03,none
mert,2,1360.7250437736511,2.128100249304147,33.75468057847202,35.882780827776166,0.5395352447032928,1.0,,2.128100249304147,"[2.9266, 8.7141]",512,368.03,0.2215851980616034,368,370,368.03,none
